,SENDER,RECEIVER,SENDER DEPT,RECEIVER DEPT
0,0,1,1,1
1,2,3,21,21
2,2,4,21,21
3,5,6,25,25
4,5,7,25,14
5,8,9,14,14
6,10,11,9,14
7,12,13,14,26
8,12,14,14,4
9,15,16,17,34
10,17,18,1,1
11,12,19,14,14
12,20,21,9,9
13,20,22,9,9
14,23,24,11,11
15,23,25,11,11
16,23,26,11,11
17,23,27,11,11
18,23,28,11,11
19,23,29,11,11
20,23,30,11,11
21,23,31,11,11
22,23,32,11,11
23,23,33,11,11
24,23,34,11,11
25,23,35,11,11
26,23,36,11,11
27,23,37,11,11
28,23,38,11,11
29,23,39,11,11
30,23,40,11,11
31,41,42,5,34
32,43,44,14,14
33,45,46,17,17
34,47,48,10,10
35,49,50,36,37
36,41,51,5,5
37,52,53,7,4
38,54,55,22,22
39,54,56,22,21
40,54,57,22,21
41,54,58,22,21
42,54,59,22,21
43,60,61,7,7
44,54,54,22,22
45,62,63,36,21
46,64,65,25,4
47,62,4,36,21
48,66,67,8,15
49,68,69,15,15
50,42,41,34,5
51,70,71,37,37
52,72,21,9,9
53,71,70,37,37
54,73,74,1,1
55,75,76,10,10
56,75,48,10,10
57,77,78,3,3
58,77,79,3,3
59,80,81,29,15
60,80,68,29,15
61,19,62,14,36
62,82,83,36,36
63,22,21,9,9
64,82,84,36,37
65,21,72,9,9
66,41,85,5,1
67,41,86,5,36
68,41,87,5,34
69,82,86,36,36
70,88,89,20,20
71,90,91,8,15
72,92,20,9,9
73,41,93,5,4
74,41,94,5,5
75,41,95,5,4
76,89,96,20,20
77,89,88,20,20
78,97,98,16,16
79,97,99,16,16
80,97,100,16,16
81,97,101,16,16
82,97,102,16,38
83,103,104,7,7
84,51,41,5,5
85,82,105,36,34
86,90,106,8,38
87,62,107,36,36
88,108,109,8,27
89,108,66,8,8
90,108,110,8,8
91,108,111,8,8
92,108,112,8,8
93,113,114,10,10
94,115,116,13,13
95,117,118,6,26
96,76,119,10,10
97,17,120,1,1
98,82,121,36,36
99,122,123,0,13
100,14,12,4,14
101,124,125,16,16
102,13,126,26,22
103,127,128,6,5
104,127,129,6,4
105,127,130,6,0
106,131,132,28,28
107,40,26,11,11
108,40,29,11,11
109,18,133,1,4
110,56,55,21,22
111,56,54,21,22
112,56,59,21,21
113,134,6,2,25
114,115,62,13,36
115,135,136,13,13
116,137,138,21,21
117,137,137,21,21
118,22,20,9,9
119,139,140,17,17
120,141,142,14,36
121,143,143,8,8
122,143,51,8,5
123,143,133,8,4
124,144,145,40,35
125,146,147,15,23
126,83,82,36,36
127,148,149,0,0
128,150,103,7,7
129,150,150,7,7
130,49,84,36,37
131,151,28,10,11
132,152,153,37,27
133,153,152,27,37
134,154,155,35,35
135,156,157,0,0
136,139,15,17,17
137,158,159,19,19
138,4,2,21,21
139,4,3,21,21
140,133,18,4,1
141,160,161,36,14
142,84,162,37,37
143,84,50,37,37
144,84,49,37,36
145,84,71,37,37
146,72,163,9,24
147,164,139,17,17
148,165,166,13,36
149,167,168,4,4
150,123,122,13,0
151,169,115,13,13
152,169,170,13,13
153,40,171,11,10
154,123,103,13,7
155,123,172,13,4
156,123,61,13,7
157,123,123,13,13
158,24,96,11,20
159,81,80,15,29
160,173,21,38,9
161,174,175,32,32
162,176,177,4,1
163,176,178,4,0
164,122,179,0,0
165,21,22,9,9
166,180,130,0,0
167,181,182,7,7
168,129,183,4,4
169,184,184,15,15
170,181,179,7,0
171,185,52,16,7
172,70,186,37,40
173,106,187,38,15
174,137,175,21,32
175,137,174,21,32
176,188,189,15,15
177,108,190,8,15
178,191,157,0,0
179,191,191,0,0
180,192,193,21,21
181,192,194,21,21
182,192,195,21,21
183,192,2,21,21
184,192,192,21,21
185,41,196,5,5
186,41,197,5,4
187,41,198,5,4
188,41,199,5,4
189,41,200,5,4
190,41,167,5,4
191,41,201,5,4
192,41,202,5,4
193,41,203,5,4
194,41,204,5,5
195,41,205,5,5
196,41,206,5,4
197,41,207,5,4
198,208,208,22,22
199,61,123,7,13
200,209,210,19,19
201,41,128,5,5
202,211,54,22,22
203,115,212,13,34
204,106,189,38,15
205,137,208,21,22
206,212,115,34,13
207,56,58,21,21
208,30,25,11,11
209,30,36,11,11
210,30,41,11,5
211,155,213,35,14
212,48,47,10,10
213,214,180,0,0
214,96,24,20,11
215,4,4,21,21
216,4,62,21,36
217,155,215,35,1
218,216,15,17,17
219,170,170,13,13
220,71,217,37,37
221,71,50,37,37
222,71,49,37,36
223,13,13,26,26
224,98,97,16,16
225,74,1,1,1
226,74,218,1,1
227,74,219,1,1
228,74,215,1,1
229,74,220,1,1
230,74,221,1,1
231,74,222,1,1
232,74,223,1,1
233,74,18,1,1
234,74,224,1,1
235,74,225,1,1
236,74,226,1,1
237,74,227,1,1
238,74,17,1,1
239,74,228,1,1
240,229,64,10,25
241,100,97,16,16
242,230,21,23,9
243,230,20,23,9
244,231,232,0,4
245,233,209,19,19
246,233,234,19,19
247,233,235,19,19
248,233,236,19,19
249,233,159,19,19
250,233,237,19,19
251,233,210,19,19
252,233,238,19,19
253,233,239,19,19
254,233,240,19,19
255,233,241,19,19
256,233,242,19,19
257,233,243,19,19
258,233,244,19,19
259,245,115,10,13
260,246,247,14,14
261,248,74,1,1
262,13,238,26,19
263,106,62,38,36
264,106,249,38,14
265,13,27,26,11
266,13,209,26,19
267,103,250,7,7
268,40,251,11,13
269,175,252,32,20
270,169,251,13,13
271,115,169,13,13
272,232,231,4,0
273,75,253,10,31
274,75,40,10,11
275,175,174,32,32
276,254,137,40,21
277,249,212,14,34
278,249,255,14,6
279,249,256,14,4
280,222,74,1,1
281,183,257,4,0
282,17,218,1,1
283,183,198,4,4
284,183,258,4,8
285,183,183,4,4
286,19,12,14,14
287,259,72,9,9
288,259,260,9,9
289,75,261,10,10
290,115,170,13,13
291,251,169,13,13
292,262,262,0,0
293,263,263,10,10
294,264,265,14,14
295,264,266,14,14
296,264,267,14,14
297,106,268,38,39
298,269,45,17,17
299,129,270,4,4
300,271,272,28,17
301,81,256,15,4
302,46,139,17,17
303,46,15,17,17
304,46,273,17,17
305,46,272,17,17
306,46,274,17,17
307,46,164,17,17
308,46,216,17,17
309,46,45,17,17
310,275,276,4,4
311,277,277,0,0
312,155,114,35,10
313,158,62,19,36
314,129,278,4,0
315,101,101,16,16
316,29,40,11,11
317,279,107,23,36
318,155,208,35,22
319,231,280,0,4
320,281,281,21,21
321,282,283,36,36
322,155,284,35,0
323,46,46,17,17
324,160,28,36,11
325,160,23,36,11
326,285,286,22,21
327,285,211,22,22
328,258,183,8,4
329,69,287,15,15
330,280,231,4,0
331,212,249,34,14
332,162,288,37,37
333,162,71,37,37
334,162,84,37,37
335,280,289,4,0
336,280,270,4,4
337,280,196,4,5
338,280,168,4,4
339,280,167,4,4
340,280,290,4,4
341,280,203,4,4
342,280,14,4,4
343,280,291,4,4
344,280,284,4,0
345,280,129,4,4
346,280,130,4,0
347,280,292,4,4
348,293,19,14,14
349,254,226,40,1
350,129,294,4,4
351,189,106,15,38
352,295,296,7,7
353,165,115,13,13
354,287,69,15,15
355,287,80,15,29
356,74,248,1,1
357,74,297,1,1
358,74,73,1,1
359,298,299,15,15
360,281,137,21,21
361,147,62,23,36
362,147,249,23,14
363,62,300,36,38
364,301,248,26,1
365,302,303,20,20
366,303,302,20,20
367,304,303,20,20
368,252,233,20,19
369,252,166,20,36
370,252,121,20,36
371,252,145,20,35
372,252,115,20,13
373,136,115,13,13
374,92,22,9,9
375,303,304,20,20
376,268,106,39,38
377,252,212,20,34
378,252,288,20,37
379,252,58,20,21
380,252,175,20,32
381,252,305,20,21
382,252,48,20,10
383,12,293,14,14
384,306,62,9,36
385,281,2,21,21
386,236,209,19,19
387,236,238,19,19
388,236,235,19,19
389,236,243,19,19
390,236,244,19,19
391,102,97,38,16
392,175,15,32,17
393,6,5,25,25
394,17,307,1,1
395,17,308,1,1
396,17,1,1,1
397,17,177,1,1
398,17,74,1,1
399,17,309,1,1
400,17,215,1,1
401,17,248,1,1
402,17,220,1,1
403,17,310,1,1
404,17,85,1,1
405,17,311,1,1
406,17,221,1,1
407,17,312,1,1
408,17,222,1,1
409,17,313,1,1
410,17,223,1,1
411,17,0,1,1
412,17,224,1,1
413,17,314,1,1
414,17,225,1,1
415,17,315,1,1
416,17,226,1,1
417,17,73,1,1
418,17,316,1,1
419,17,317,1,1
420,17,228,1,1
421,245,318,10,10
422,35,62,11,36
423,236,319,19,19
424,167,167,4,4
425,167,201,4,4
426,167,133,4,4
427,167,18,4,1
428,320,321,7,7
429,254,62,40,36
430,322,45,17,17
431,220,177,1,1
432,215,295,1,7
433,321,320,7,7
434,102,323,38,16
435,102,300,38,38
436,147,212,23,34
437,147,42,23,34
438,147,105,23,34
439,11,324,14,14
440,21,173,9,38
441,21,325,9,9
442,21,10,9,9
443,21,20,9,9
444,21,306,9,9
445,21,326,9,9
446,21,327,9,9
447,21,230,9,23
448,328,329,8,8
449,64,229,25,10
450,215,5,1,25
451,209,236,19,19
452,18,62,1,36
453,73,330,1,13
454,73,248,1,1
455,73,331,1,39
456,73,297,1,1
457,73,17,1,1
458,290,290,4,4
459,141,332,14,14
