Sender ID,Receiver ID
137,58
137,14
137,14
137,108
137,48
137,119
137,58
137,44
137,52
137,112
137,58
137,58
137,48
137,58
137,58
137,48
137,119
137,58
137,58
137,58
14,137
137,57
137,25
137,44
137,52
44,137
44,112
44,52
137,52
137,58
137,44
137,58
137,48
137,129
137,58
137,112
137,58
137,58
137,112
137,58
137,94
137,108
137,57
137,14
137,48
137,25
137,112
137,90
137,44
137,119
137,58
137,129
137,52
137,119
137,58
137,119
137,108
137,48
137,119
137,58
137,119
137,119
137,119
137,119
137,119
137,119
137,119
137,119
137,119
137,119
137,119
137,58
137,119
137,119
137,119
137,58
137,58
137,58
137,57
137,58
137,58
137,58
137,108
137,58
137,108
137,119
137,52
137,119
137,129
137,129
137,52
137,129
52,108
137,48
108,44
108,52
137,58
119,137
52,57
52,25
119,137
119,112
58,48
137,119
57,52
119,48
44,137
44,52
90,129
137,44
137,129
58,137
119,137
119,58
58,137
25,57
137,58
25,57
58,137
58,137
58,137
119,137
119,48
119,48
137,119
137,129
137,108
137,119
58,137
137,129
119,137
108,137
137,129
58,137
58,3
137,58
137,3
137,64
64,137
108,52
58,48
58,137
119,58
64,137
119,48
58,137
58,137
58,48
58,119
58,129
58,3
58,48
58,129
58,134
52,57
52,25
58,137
58,137
58,129
58,3
58,137
58,48
58,119
58,129
58,3
119,48
119,48
137,108
58,137
58,48
58,119
58,129
58,3
58,137
58,48
58,119
58,129
58,142
58,3
137,3
137,48
137,119
137,58
137,129
137,48
137,119
137,58
137,129
137,3
58,129
58,129
58,137
58,137
129,25
129,25
64,137
64,137
58,129
64,137
137,119
119,137
137,64
90,116
119,129
119,129
90,116
58,137
112,81
137,64
137,64
108,97
137,44
58,137
25,57
90,116
119,129
90,116
25,57
119,137
137,64
137,64
137,64
137,64
44,64
137,3
90,116
137,48
137,119
137,58
137,129
90,116
90,116
90,116
137,64
119,48
137,48
64,137
25,57
119,48
119,137
119,48
119,58
119,129
119,3
58,137
58,48
58,119
58,129
58,3
64,137
112,146
112,44
58,137
58,48
58,119
58,129
58,3
64,137
64,146
119,137
119,48
119,58
119,129
119,3
112,44
25,57
119,137
137,48
119,137
137,119
108,112
119,137
119,137
137,64
119,137
58,137
137,64
119,137
3,119
58,137
58,48
58,119
58,129
58,3
94,57
94,133
94,52
64,137
108,44
108,97
64,137
58,137
64,137
108,97
137,64
64,137
137,48
137,119
137,58
137,129
137,3
137,52
64,137
119,137
119,48
119,48
119,48
119,137
64,137
64,146
137,119
58,137
137,119
119,137
119,3
3,119
58,129
64,137
119,48
58,108
119,48
119,48
119,3
94,57
94,25
94,133
94,52
64,137
137,108
137,25
137,52
25,137
25,52
137,52
58,48
137,64
137,108
137,25
137,52
137,58
38,57
137,64
137,64
119,129
137,58
119,48
137,58
137,108
137,25
137,52
119,48
119,48
119,48
89,119
137,119
38,57
38,40
119,137
137,129
137,129
137,129
108,97
108,52
90,116
137,119
137,129
137,58
119,137
119,48
137,58
137,58
94,57
94,25
94,52
137,58
64,137
119,48
52,57
119,137
119,48
119,3
119,3
58,137
58,48
58,119
58,129
58,3
119,3
119,137
119,137
119,48
119,58
119,129
119,3
58,129
119,3
58,119
64,137
58,137
58,48
58,119
58,129
58,3
137,108
137,64
137,25
137,52
58,137
52,57
58,137
137,64
137,64
137,64
137,25
108,44
58,108
58,137
58,137
58,48
58,119
58,129
58,3
58,137
137,58
137,58
58,119
108,112
108,44
108,52
58,137
137,44
137,64
58,137
52,57
119,3
137,48
137,129
3,119
44,108
119,129
64,137
58,64
58,137
58,48
58,3
137,58
137,58
137,48
137,119
137,58
137,129
137,3
58,64
58,137
119,129
58,48
119,3
58,3
58,48
58,3
58,137
58,119
58,129
3,119
58,137
58,66
58,48
58,119
58,129
58,3
58,48
58,3
119,3
57,52
3,119
3,119
119,48
58,137
58,48
58,3
58,137
58,48
58,119
58,129
58,3
119,3
119,3
74,57
119,48
57,52
57,35
58,119
119,58
74,57
58,119
58,25
58,119
58,52
119,137
119,129
119,48
119,3
58,119
119,48
119,58
119,129
119,3
119,58
58,137
58,137
58,119
119,129
119,58
3,119
58,137
58,25
58,119
58,52
58,52
119,58
58,60
58,52
58,52
119,3
58,119
58,52
58,52
58,119
58,129
58,137
58,52
119,48
119,58
119,129
119,3
58,119
119,3
119,129
3,119
119,48
119,58
119,129
119,3
58,119
58,119
58,129
119,48
119,137
119,48
119,58
119,129
119,3
119,48
119,3
119,137
119,48
119,58
119,129
119,3
119,129
119,48
119,3
58,119
90,57
112,44
58,137
58,129
119,129
56,112
90,33
58,64
58,137
58,137
58,48
58,119
64,137
58,129
58,137
58,137
58,48
58,119
58,129
58,3
119,48
119,3
119,129
58,94
58,108
58,137
58,57
58,48
58,25
58,119
58,129
58,52
58,3
58,137
108,137
137,94
137,108
137,57
137,48
137,25
137,119
137,58
137,129
137,52
137,3
58,137
58,48
119,137
119,137
119,48
119,48
58,137
58,52
58,137
119,137
58,129
119,48
119,3
58,137
58,48
58,119
58,129
58,3
119,137
119,129
108,137
58,137
58,129
90,33
58,129
58,137
58,48
58,119
58,129
58,3
44,52
58,129
137,108
137,58
58,137
58,129
58,137
137,48
137,119
137,58
137,129
137,3
58,137
56,23
56,112
137,58
137,58
44,25
137,119
137,64
108,44
108,52
119,137
3,119
137,108
121,130
121,60
137,25
137,52
58,137
119,137
58,137
137,64
58,137
58,129
119,48
137,58
119,48
119,48
58,137
119,48
119,48
119,3
108,137
108,44
108,52
119,129
119,129
119,137
119,58
119,137
119,48
119,58
119,129
119,3
119,48
3,119
58,137
58,48
58,129
58,129
137,129
58,137
58,52
137,64
44,108
44,137
44,52
137,108
137,3
56,112
137,129
112,146
112,44
60,19
60,121
64,137
64,58
58,108
58,64
58,137
58,25
58,52
137,108
90,33
137,64
137,119
137,58
90,33
137,58
58,137
137,129
137,58
119,48
119,48
108,44
108,52
119,3
119,48
119,48
119,137
137,58
64,137
3,119
119,137
58,137
58,137
58,137
129,137
129,119
129,108
129,137
129,119
58,137
58,137
58,137
129,137
129,119
137,52
58,137
48,58
58,137
58,64
58,137
58,137
90,33
58,129
58,137
90,33
56,112
58,137
119,137
60,123
60,67
119,3
119,48
3,119
58,129
137,48
137,119
137,58
137,129
137,3
119,48
25,137
25,52
52,137
52,25
58,137
58,137
137,129
58,137
58,137
137,48
137,119
137,58
137,129
137,3
58,137
58,137
58,108
58,137
119,129
119,48
119,3
119,137
137,119
119,137
137,119
58,137
58,48
137,58
119,137
119,137
137,119
58,137
58,137
119,3
119,3
119,3
58,137
119,48
119,48
58,119
119,58
119,137
58,64
137,64
64,137
137,129
137,52
119,48
119,3
119,48
137,119
3,119
58,137
137,25
58,137
119,48
58,3
119,0
58,137
137,58
58,137
119,3
58,137
137,52
58,137
58,137
58,137
58,119
137,58
137,94
137,108
137,57
137,14
137,48
137,25
137,112
137,90
137,44
137,119
137,58
137,52
137,3
58,137
58,119
119,137
58,137
19,130
19,121
119,137
58,137
48,119
44,108
44,60
44,112
137,64
129,48
129,58
129,3
48,119
48,119
119,137
119,129
119,48
119,129
119,3
108,44
108,52
58,137
137,58
137,119
58,137
58,137
137,129
48,119
58,48
58,3
137,64
119,48
112,44
137,52
119,137
119,112
119,137
119,48
44,108
137,58
137,58
25,137
129,137
129,119
119,137
119,137
119,129
119,48
129,137
58,64
58,137
58,6
129,137
48,119
90,52
58,137
119,129
119,3
108,44
108,52
58,137
119,48
119,137
119,48
119,58
119,129
119,3
119,137
64,137
119,137
137,119
137,48
137,119
137,58
137,129
137,3
137,52
58,137
58,52
137,58
137,52
137,58
58,119
58,129
58,137
58,48
58,119
58,129
58,3
58,52
137,25
137,52
137,119
58,119
137,64
137,119
137,129
112,44
119,137
119,48
130,19
130,121
119,48
48,137
48,58
119,129
52,137
52,25
52,57
119,94
119,48
119,48
119,129
119,48
108,44
108,52
137,58
58,137
58,137
